City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,sidi okba,34.7451,5.8983,310.31,8,0,1.54,DZ,1689543456
109,san patricio,28.017,-97.5169,313.55,41,11,7.34,US,1689543456
110,mahina,-17.5065,-149.489,302.02,58,20,2.06,PF,1689543456
111,helena valley west central,46.6629,-112.0604,307.67,21,0,7.2,US,1689543457
112,kimbe,-5.5502,150.1429,300.75,74,46,3.8,PG,1689543457
113,lebu,-37.6167,-73.65,281.11,75,100,5.56,CL,1689543457
114,roma,43.2128,-75.4557,300.78,70,40,4.12,US,1689543457
115,longyearbyen,78.2186,15.6401,283.06,76,0,1.54,SJ,1689543458
116,lawrenceburg,38.0373,-84.8966,303.08,62,20,3.09,US,1689543458
117,sauteurs,12.2167,-61.6333,302.54,79,7,5.78,GD,1689543458
118,babolsar,36.7025,52.6576,299.34,71,21,3.91,IR,1689543459
119,hermanus,-34.4187,19.2345,287.24,83,97,3.56,ZA,1689543245
120,huarmey,-10.0681,-78.1522,295.42,75,13,5.48,PE,1689543459
121,ponta delgada,37.7333,-25.6667,293.55,73,75,1.03,PT,1689543332
122,kodinar,20.7903,70.7031,300.5,84,74,5.3,IN,1689543460
123,saipan,15.1355,145.701,302.54,100,40,5.66,MP,1689543460
124,weihai,37.5017,122.1136,296.37,75,100,1.51,CN,1689543460
125,bilibino,68.0546,166.4372,298.33,37,6,3.13,RU,1689543461
126,galliano,29.4422,-90.2992,309.15,56,40,4.63,US,1689543461
127,gadzhiyevo,69.2551,33.3362,285.44,81,85,1.37,RU,1689543461
128,olonkinbyen,70.9221,-8.7187,277.39,96,100,10.39,SJ,1689543461
129,retreat,38.8245,-85.8533,302.03,60,11,1.34,US,1689543461
130,afaahiti,-17.75,-149.2833,301.08,62,1,0.86,PF,1689543462
131,revda,56.801,59.9303,285.91,94,70,2.7,RU,1689543462
132,clinton,42.587,-82.9199,301.48,51,40,7.72,US,1689543184
133,ta`u,-14.2336,-169.5144,299.84,79,53,7.79,AS,1689543462
134,stanley,54.868,-1.6985,286.42,82,20,5.14,GB,1689543237
135,gidole,5.65,37.3667,288.28,61,92,1.49,ET,1689543463
136,mogadishu,2.0371,45.3438,298.14,82,74,8.4,SO,1689543387
137,somerset east,-32.7217,25.588,286.82,45,89,2.8,ZA,1689543463
138,wailua homesteads,22.0669,-159.378,300.39,76,100,5.66,US,1689543463
139,fish town,5.1964,-7.8756,295.07,99,70,1.24,LR,1689543464
140,port mathurin,-19.6833,63.4167,296.08,71,49,12.03,MU,1689543464
141,fale old settlement,-9.3852,-171.2468,301.65,75,50,7.21,TK,1689543464
142,sarupathar,26.1984,93.8094,297.51,99,100,1.29,IN,1689543465
143,vila franca do campo,37.7167,-25.4333,293.38,77,100,2.2,PT,1689543465
144,sakakah,29.9697,40.2064,308.91,12,0,7.5,SA,1689543465
145,novyye burasy,52.1324,46.0714,287.33,90,74,5.12,RU,1689543465
146,namibe,-15.1961,12.1522,292.64,77,0,2.59,AO,1689543466
147,vilyuchinsk,52.9306,158.4028,286.3,85,30,2.5,RU,1689543466
148,vorgashor,67.5833,63.95,287.79,88,93,3.26,RU,1689543466
149,kharp,66.8014,65.8081,288.91,72,93,3.08,RU,1689543466
150,rundu,-17.9333,19.7667,285.06,41,25,2.82,NA,1689543466
151,illapel,-31.6308,-71.1653,289.35,51,1,1.26,CL,1689543467
152,selty,57.3132,52.1345,288.19,71,97,3.36,RU,1689543467
153,muriti,-1.9833,32.9167,296.65,59,7,0.91,TZ,1689543467
154,lyepyel',54.8814,28.6932,291.01,70,99,3.07,BY,1689543467
155,selfoss,63.9331,-20.9971,284.84,65,51,3.73,IS,1689543467
156,punta arenas,-53.15,-70.9167,276.21,81,75,2.06,CL,1689543468
157,rongelap,11.1635,166.8941,301.34,76,94,6.18,MH,1689543468
158,muang phonsavan,19.45,103.2167,292.31,97,100,0.23,LA,1689543468
159,balaipungut,1.05,101.2833,296.87,88,91,0.57,ID,1689543468
160,taltal,-25.4,-70.4833,289.67,80,100,2.33,CL,1689543469
161,aginskoye,51.1,114.53,292.19,66,5,1.69,RU,1689543469
162,northam,51.0333,-4.2167,287.93,85,6,4.35,GB,1689543469
163,najran,17.4924,44.1277,302.51,24,52,2.68,SA,1689543197
164,aykhal,66.0,111.5,283.85,61,100,6.24,RU,1689543470
165,fengrun,39.8333,118.1167,296.48,66,0,1.43,CN,1689543470
166,zapala,-38.8992,-70.0544,273.84,69,100,3.52,AR,1689543470
167,alakurtti,66.9672,30.3491,287.62,70,99,1.61,RU,1689543470
168,la asuncion,11.0333,-63.8628,300.66,80,55,7.06,VE,1689543470
169,aceuchal,38.6712,-6.4963,296.23,25,0,4.01,ES,1689543471
170,lazaro cardenas,17.9583,-102.2,303.89,75,19,5.23,MX,1689543471
171,severo-yeniseyskiy,60.3725,93.0408,282.66,99,100,1.3,RU,1689543471
172,turkmenbasy,40.0222,52.9552,296.58,60,0,5.14,TM,1689543471
173,tolanaro,-25.0319,46.9987,293.19,83,20,4.12,MG,1689543472
174,lagoa vermelha,-28.2086,-51.5258,282.52,93,1,1.62,BR,1689543472
175,waingapu,-9.6567,120.2641,295.15,85,99,3.82,ID,1689543472
176,la passe,45.5549,-0.8967,291.47,75,50,1.73,FR,1689543472
177,west island,-12.1568,96.8225,298.14,65,100,5.14,CC,1689543472
178,colachel,8.1667,77.25,299.44,84,83,6.29,IN,1689543473
179,margaret river,-33.95,115.0667,288.07,92,68,4.79,AU,1689543473
180,koson,39.0375,65.585,297.33,18,0,4.64,UZ,1689543473
181,ust-nera,64.5667,143.2,285.1,60,76,3.47,RU,1689543473
182,peace river,56.2501,-117.286,298.32,53,100,3.09,CA,1689543473
183,mejit,10.2753,170.8646,301.17,77,83,5.13,MH,1689543474
184,neiafu,-18.65,-173.9833,295.53,83,75,4.63,TO,1689543474
185,constantia,44.1833,28.65,295.53,70,0,3.66,RO,1689543474
